1,2,3,4,5,6,7
0.657,0.408,0.818,,,,,
0.607,0.416,1.398,0.000,,,,
0.643,0.522,0.629,1.338,0.856,,,
0.539,0.662,0.882,0.000,,,,
0.615,0.863,0.513,0.000,,,,
0.592,0.821,0.919,0.000,0.000,,,
0.455,0.456,0.514,0.000,0.848,,,
0.602,0.759,0.415,0.452,0.731,0.567,0.794,
0.430,0.652,0.681,1.073,,,,
1.291,0.964,1.345,0.944,1.248,,,
0.552,1.083,0.744,0.000,0.593,0.000,,
0.576,0.600,1.017,0.327,0.798,0.000,,
0.886,0.982,0.657,0.603,0.000,0.647,,
0.896,0.956,1.089,0.000,,,,
0.606,0.765,1.427,0.000,0.000,,,
0.688,0.561,0.572,,Infinity,0.000,,
0.597,0.564,0.650,,,0.000,,
0.624,1.048,0.636,0.000,0.890,,,
0.612,1.116,0.607,0.000,0.497,,,
0.652,0.941,0.772,,,,,
0.685,0.960,0.549,0.000,,,,
0.644,0.713,0.738,0.714,,0.000,0.000,
0.659,0.500,0.422,0.000,,0.000,,
0.446,0.509,0.487,0.000,,0.517,,
1.726,2.606,3.031,0.963,1.250,2.451,1.108,
0.870,1.187,1.187,1.486,1.409,1.496,1.071,
0.288,0.390,0.661,0.429,0.462,0.000,,
4.611,Infinity,Infinity,,Infinity,,,
0.816,1.460,0.742,0.559,1.302,Infinity,,
0.338,0.467,0.565,0.000,0.000,0.000,,
0.799,0.919,0.849,0.358,0.533,0.629,0.445,
0.631,0.737,0.547,0.000,0.000,,,
0.671,0.857,0.575,0.000,0.657,,,
0.722,0.886,0.745,0.000,0.000,,,
0.883,1.191,1.263,0.720,1.181,Infinity,,
0.661,0.503,0.525,0.000,0.675,,,
0.908,0.417,0.000,0.440,0.595,,,
0.385,0.826,0.591,0.805,Infinity,,0.000,
0.427,0.511,0.332,0.645,0.776,,,
0.863,0.803,0.270,,,,,
1.247,0.676,0.908,0.000,1.161,Infinity,,
1.257,1.196,1.007,1.140,1.168,1.148,0.642,
0.909,1.206,1.134,1.066,0.807,1.372,0.688,
0.844,0.977,0.937,0.499,0.000,Infinity,,
0.612,0.406,0.377,0.495,0.745,0.705,0.638,
0.884,1.293,0.631,0.383,0.744,0.864,0.718,
0.754,0.895,0.762,0.966,0.793,0.797,0.725,
0.757,0.894,0.800,0.755,0.857,1.033,0.978,
0.682,0.676,0.837,0.776,,,,
0.710,0.623,0.363,0.815,2.030,,,
0.862,0.870,0.800,0.879,2.514,,,
0.891,1.602,3.206,Infinity,,,,
0.834,0.901,1.012,0.937,,,,
0.789,0.449,0.257,0.143,0.000,0.000,
0.837,0.429,0.320,0.150,0.192,0.000,
0.751,0.314,0.182,0.161,0.000,0.000,
0.751,0.476,0.331,0.218,0.244,,
0.966,0.663,0.706,0.178,0.356,Infinity,
0.799,0.416,0.296,0.163,0.000,,
